site_id,site_name,timestamp,air_temp_c,air_humidity_pct,soil_moisture_pct,soil_temp_c,light_lux,soil_ph
S1,大田A区,2026-08-02 12:00:00,28.9,77.4,57.8,27.6,30026.0,6.44
S1,大田A区,2026-08-02 16:00:00,27.4,76.7,52.6,25.6,27947.0,6.61
S1,大田A区,2026-08-02 20:00:00,22.7,65.0,53.5,21.5,5497.0,6.59
S2,大田B区,2026-08-02 08:00:00,22.8,65.4,54.5,21.4,4552.0,6.72
S2,大田B区,2026-08-02 12:00:00,28.0,77.6,58.7,26.9,29602.0,6.19
S2,大田B区,2026-08-02 16:00:00,28.4,79.8,59.3,26.3,29487.0,6.71
S2,大田B区,2026-08-02 20:00:00,21.2,66.7,55.0,19.9,5102.0,6.57
S3,大田C区（低洼易涝）,2026-08-02 08:00:00,21.1,64.5,62.7,19.7,5900.0,6.8
S3,大田C区（低洼易涝）,2026-08-02 12:00:00,28.9,82.2,57.9,27.4,27818.0,6.26
S3,大田C区（低洼易涝）,2026-08-02 16:00:00,29.0,82.2,60.7,27.0,28235.0,6.18
S3,大田C区（低洼易涝）,2026-08-02 20:00:00,22.5,66.8,62.1,21.3,7434.0,6.22
S4,温室育苗区,2026-08-02 08:00:00,21.4,58.5,51.1,20.0,4838.0,6.25
S4,温室育苗区,2026-08-02 12:00:00,28.4,74.1,50.8,26.9,28532.0,6.58
S4,温室育苗区,2026-08-02 16:00:00,28.6,75.8,54.8,27.2,30111.0,6.35
S4,温室育苗区,2026-08-02 20:00:00,22.7,56.8,52.8,21.4,5758.0,6.83
S5,山坡试验田,2026-08-02 08:00:00,22.3,68.1,57.2,20.6,7538.0,6.51
S5,山坡试验田,2026-08-02 12:00:00,28.7,79.2,61.7,26.7,27024.0,6.72
S5,山坡试验田,2026-08-02 16:00:00,28.1,78.5,61.6,26.4,29045.0,6.53
S5,山坡试验田,2026-08-02 20:00:00,21.0,64.8,62.5,19.0,7926.0,6.73
S1,大田A区,2026-08-03 08:00:00,22.3,59.2,57.5,20.3,5737.0,6.33
S1,大田A区,2026-08-03 12:00:00,28.8,73.1,53.4,27.6,28484.0,6.2
S1,大田A区,2026-08-03 16:00:00,28.7,78.7,56.6,27.3,30454.0,6.16
S1,大田A区,2026-08-03 20:00:00,21.3,64.7,54.6,19.5,5372.0,6.61
S2,大田B区,2026-08-03 08:00:00,21.8,64.9,56.3,20.5,6025.0,6.18
S2,大田B区,2026-08-03 12:00:00,27.1,76.8,59.2,25.2,26863.0,6.36
S2,大田B区,2026-08-03 16:00:00,28.8,74.8,56.1,27.4,30188.0,6.64
S2,大田B区,2026-08-03 20:00:00,21.1,61.7,60.7,19.9,4151.0,6.16
S3,大田C区（低洼易涝）,2026-08-03 08:00:00,22.2,65.0,64.8,20.8,7504.0,6.46
S3,大田C区（低洼易涝）,2026-08-03 12:00:00,27.6,80.9,61.0,26.1,28545.0,6.59
S3,大田C区（低洼易涝）,2026-08-03 16:00:00,28.5,78.7,63.6,26.8,28616.0,6.53
S3,大田C区（低洼易涝）,2026-08-03 20:00:00,21.3,67.0,63.7,19.8,7112.0,6.45
S4,温室育苗区,2026-08-03 08:00:00,22.9,56.9,52.1,20.9,4640.0,6.77
S4,温室育苗区,2026-08-03 12:00:00,28.9,72.8,54.5,27.0,27327.0,6.17
S4,温室育苗区,2026-08-03 16:00:00,29.1,73.0,56.4,27.0,30495.0,6.84
S4,温室育苗区,2026-08-03 20:00:00,22.4,57.8,54.8,21.1,7142.0,6.24
S5,山坡试验田,2026-08-03 08:00:00,22.9,62.7,61.2,20.8,7623.0,6.64
S5,山坡试验田,2026-08-03 12:00:00,27.5,76.9,56.9,26.1,28201.0,6.36
S5,山坡试验田,2026-08-03 16:00:00,27.3,81.7,58.4,25.6,27111.0,6.42
S5,山坡试验田,2026-08-03 20:00:00,22.1,65.5,62.2,20.9,5773.0,6.77
S1,大田A区,2026-08-04 08:00:00,23.0,64.3,55.8,21.5,6444.0,6.46
S1,大田A区,2026-08-04 12:00:00,27.1,76.7,52.9,25.5,28935.0,6.41
S1,大田A区,2026-08-04 16:00:00,27.1,78.3,59.3,25.2,28293.0,6.41
S1,大田A区,2026-08-04 20:00:00,22.5,64.0,58.9,21.3,5561.0,6.33
S2,大田B区,2026-08-04 08:00:00,21.6,64.1,61.1,19.7,5788.0,6.7
S2,大田B区,2026-08-04 12:00:00,28.1,76.7,56.2,26.9,27511.0,6.47
S2,大田B区,2026-08-04 16:00:00,28.8,76.0,56.4,27.1,27613.0,6.28
S2,大田B区,2026-08-04 20:00:00,22.5,66.8,58.5,20.7,7916.0,6.65
S3,大田C区（低洼易涝）,2026-08-04 08:00:00,21.1,67.5,62.9,19.6,6117.0,6.54
S3,大田C区（低洼易涝）,2026-08-04 12:00:00,29.0,83.5,64.0,27.2,29700.0,6.64
S3,大田C区（低洼易涝）,2026-08-04 16:00:00,27.6,79.3,60.5,26.5,27631.0,6.47
S3,大田C区（低洼易涝）,2026-08-04 20:00:00,21.3,69.9,62.0,19.5,6763.0,6.35
S4,温室育苗区,2026-08-04 08:00:00,22.8,62.3,50.3,21.2,5948.0,6.23
S4,温室育苗区,2026-08-04 12:00:00,28.8,73.2,51.7,26.8,29143.0,6.74
S4,温室育苗区,2026-08-04 16:00:00,28.7,74.0,55.3,27.3,29260.0,6.18
S4,温室育苗区,2026-08-04 20:00:00,21.2,61.4,55.0,19.1,7274.0,6.82
S5,山坡试验田,2026-08-04 08:00:00,21.4,67.2,57.6,19.9,7217.0,6.32
S5,山坡试验田,2026-08-04 12:00:00,27.2,77.5,61.4,25.4,30024.0,6.38
S5,山坡试验田,2026-08-04 16:00:00,28.6,79.8,59.9,26.8,29552.0,6.23
S5,山坡试验田,2026-08-04 20:00:00,22.9,64.4,57.0,21.2,5975.0,6.22
S1,大田A区,2026-08-05 08:00:00,22.3,62.7,59.2,21.0,4991.0,6.46
S1,大田A区,2026-08-05 12:00:00,28.2,74.2,53.0,26.7,29684.0,6.66
S1,大田A区,2026-08-05 16:00:00,27.7,77.6,58.7,26.5,27938.0,6.37
S1,大田A区,2026-08-05 20:00:00,21.0,64.4,57.0,19.3,4472.0,6.73
S2,大田B区,2026-08-05 08:00:00,21.8,64.1,57.7,20.2,5534.0,6.69
S2,大田B区,2026-08-05 12:00:00,27.8,78.4,56.6,26.4,30140.0,6.33
S2,大田B区,2026-08-05 16:00:00,27.4,80.0,57.3,26.1,28930.0,6.5
S2,大田B区,2026-08-05 20:00:00,22.1,61.9,57.7,21.0,6616.0,6.43
S3,大田C区（低洼易涝）,2026-08-05 08:00:00,21.4,65.6,59.7,19.8,4671.0,6.39
S3,大田C区（低洼易涝）,2026-08-05 12:00:00,28.5,82.0,61.0,26.6,29460.0,6.51
S3,大田C区（低洼易涝）,2026-08-05 16:00:00,27.4,81.9,63.3,25.8,28776.0,6.54
S3,大田C区（低洼易涝）,2026-08-05 20:00:00,22.7,68.1,64.5,20.7,6112.0,6.71
S4,温室育苗区,2026-08-05 08:00:00,21.1,61.2,53.4,19.5,6399.0,6.34
S4,温室育苗区,2026-08-05 12:00:00,27.6,74.2,52.1,25.7,28946.0,6.54
S4,温室育苗区,2026-08-05 16:00:00,28.6,76.4,52.3,26.6,27756.0,6.28
S4,温室育苗区,2026-08-05 20:00:00,23.0,58.3,52.3,21.3,4717.0,6.54
S5,山坡试验田,2026-08-05 08:00:00,21.6,63.5,56.3,19.6,5165.0,6.78
S5,山坡试验田,2026-08-05 12:00:00,27.1,79.2,57.8,25.8,28059.0,6.34
S5,山坡试验田,2026-08-05 16:00:00,28.2,81.2,56.2,26.8,27372.0,6.35
S5,山坡试验田,2026-08-05 20:00:00,22.3,65.8,60.0,20.9,7973.0,6.71
S1,大田A区,2026-08-06 08:00:00,22.2,64.3,55.5,20.2,7545.0,6.59
S1,大田A区,2026-08-06 12:00:00,28.9,75.9,53.8,27.5,30240.0,6.63
S1,大田A区,2026-08-06 16:00:00,28.5,77.0,53.7,26.8,28503.0,6.17
S1,大田A区,2026-08-06 20:00:00,21.8,61.4,53.7,20.3,6450.0,6.23
S2,大田B区,2026-08-06 08:00:00,22.8,62.7,54.8,20.9,7025.0,6.57
S2,大田B区,2026-08-06 12:00:00,28.3,77.7,57.0,27.2,27918.0,6.5
S2,大田B区,2026-08-06 16:00:00,28.6,76.0,55.5,26.8,28738.0,6.53
S2,大田B区,2026-08-06 20:00:00,21.5,62.4,60.2,19.6,4431.0,6.69
S3,大田C区（低洼易涝）,2026-08-06 08:00:00,22.9,68.3,64.6,20.9,7043.0,6.29
S3,大田C区（低洼易涝）,2026-08-06 12:00:00,27.3,78.8,60.5,25.6,28587.0,6.44
S3,大田C区（低洼易涝）,2026-08-06 16:00:00,27.9,81.6,58.0,26.0,30263.0,6.28
S3,大田C区（低洼易涝）,2026-08-06 20:00:00,21.8,68.3,63.7,20.6,7567.0,6.79
S4,温室育苗区,2026-08-06 08:00:00,22.3,57.7,51.0,20.7,6919.0,6.44
S4,温室育苗区,2026-08-06 12:00:00,28.9,75.7,55.6,26.9,27572.0,6.73
S4,温室育苗区,2026-08-06 16:00:00,28.9,73.5,55.5,27.1,26629.0,6.76
S4,温室育苗区,2026-08-06 20:00:00,21.0,58.9,55.3,19.5,4055.0,6.71
S5,山坡试验田,2026-08-06 08:00:00,22.8,66.9,58.9,20.9,6108.0,6.44
S5,山坡试验田,2026-08-06 12:00:00,28.1,80.4,56.2,27.0,28127.0,6.41
S5,山坡试验田,2026-08-06 16:00:00,27.1,79.4,60.8,25.3,29275.0,6.63
S5,山坡试验田,2026-08-06 20:00:00,22.0,67.5,58.5,20.5,6712.0,6.18
S1,大田A区,2026-08-07 08:00:00,22.6,59.6,59.4,20.7,4612.0,6.71
S1,大田A区,2026-08-07 12:00:00,28.3,78.1,57.1,26.9,27046.0,6.57
S1,大田A区,2026-08-07 16:00:00,28.6,78.3,54.7,27.1,30229.0,6.43
S1,大田A区,2026-08-07 20:00:00,21.4,64.3,57.4,19.3,6779.0,6.43
S2,大田B区,2026-08-07 08:00:00,21.5,65.5,55.4,19.6,5914.0,6.48
S2,大田B区,2026-08-07 12:00:00,27.2,75.4,54.8,26.0,30352.0,6.69
S2,大田B区,2026-08-07 16:00:00,28.6,78.8,55.3,27.3,29096.0,6.81
S2,大田B区,2026-08-07 20:00:00,22.9,64.5,58.0,21.4,4872.0,6.17
S3,大田C区（低洼易涝）,2026-08-07 08:00:00,21.6,67.1,63.0,20.0,7240.0,6.78
S3,大田C区（低洼易涝）,2026-08-07 12:00:00,28.6,80.6,59.8,26.8,27836.0,6.16
S3,大田C区（低洼易涝）,2026-08-07 16:00:00,28.0,81.0,58.4,26.0,27522.0,6.49
S3,大田C区（低洼易涝）,2026-08-07 20:00:00,21.7,64.7,62.7,20.4,4375.0,6.78
S4,温室育苗区,2026-08-07 08:00:00,22.2,57.0,56.7,20.3,6868.0,6.59
S4,温室育苗区,2026-08-07 12:00:00,28.3,74.9,55.4,26.3,29159.0,6.58
S4,温室育苗区,2026-08-07 16:00:00,27.6,70.7,50.3,26.3,28197.0,6.59
S4,温室育苗区,2026-08-07 20:00:00,21.6,59.9,54.0,20.1,5673.0,6.35
S5,山坡试验田,2026-08-07 08:00:00,22.7,65.9,59.5,20.7,4272.0,6.33
S5,山坡试验田,2026-08-07 12:00:00,28.6,78.5,58.0,26.6,28398.0,6.21
S5,山坡试验田,2026-08-07 16:00:00,28.1,79.7,59.2,26.1,27370.0,6.71
S5,山坡试验田,2026-08-07 20:00:00,22.6,68.1,56.2,20.9,7590.0,6.25
S1,大田A区,2026-08-08 08:00:00,20.2,75.6,65.8,19.0,600.0,6.59
S1,大田A区,2026-08-08 12:00:00,26.2,87.3,64.5,24.5,18723.0,6.84
S1,大田A区,2026-08-08 16:00:00,26.8,92.2,66.8,25.6,18172.0,6.75
S1,大田A区,2026-08-08 20:00:00,20.8,75.1,62.8,19.0,600.0,6.24
S2,大田B区,2026-08-08 08:00:00,21.2,78.4,68.7,19.9,600.0,6.62
S2,大田B区,2026-08-08 12:00:00,27.1,93.8,71.2,26.0,19196.0,6.8
S2,大田B区,2026-08-08 16:00:00,26.0,94.3,69.3,24.1,21319.0,6.46
S2,大田B区,2026-08-08 20:00:00,21.3,80.0,65.5,19.9,600.0,6.59
S3,大田C区（低洼易涝）,2026-08-08 08:00:00,20.9,78.6,71.9,19.6,600.0,6.63
S3,大田C区（低洼易涝）,2026-08-08 12:00:00,25.8,93.7,70.7,24.2,17563.0,6.68
S3,大田C区（低洼易涝）,2026-08-08 16:00:00,26.3,95.0,68.4,24.8,20208.0,6.52
S3,大田C区（低洼易涝）,2026-08-08 20:00:00,19.8,79.7,71.6,18.2,600.0,6.23
S4,温室育苗区,2026-08-08 08:00:00,20.0,71.5,64.3,18.1,600.0,6.44
S4,温室育苗区,2026-08-08 12:00:00,27.3,87.8,62.2,26.1,20139.0,6.22
S4,温室育苗区,2026-08-08 16:00:00,27.0,85.1,64.6,25.5,20667.0,6.3
S4,温室育苗区,2026-08-08 20:00:00,20.1,75.5,63.3,18.9,600.0,6.48
S5,山坡试验田,2026-08-08 08:00:00,20.7,77.9,69.6,19.6,600.0,6.38
S5,山坡试验田,2026-08-08 12:00:00,25.6,90.8,71.4,24.3,21002.0,6.7
S5,山坡试验田,2026-08-08 16:00:00,26.8,93.2,71.9,25.4,18833.0,6.66
S5,山坡试验田,2026-08-08 20:00:00,20.7,77.3,71.4,19.3,600.0,6.43
S1,大田A区,2026-08-09 08:00:00,19.9,74.3,67.6,18.0,600.0,6.23
S1,大田A区,2026-08-09 12:00:00,27.3,91.5,67.2,25.4,20031.0,6.3
S1,大田A区,2026-08-09 16:00:00,25.7,88.7,64.3,24.2,19754.0,6.82
S1,大田A区,2026-08-09 20:00:00,20.9,75.0,63.3,19.4,600.0,6.32
S2,大田B区,2026-08-09 08:00:00,21.4,79.2,66.4,20.2,600.0,6.47
S2,大田B区,2026-08-09 12:00:00,26.8,88.7,64.5,25.4,18109.0,6.35
S2,大田B区,2026-08-09 16:00:00,26.8,89.7,64.9,25.6,17790.0,6.64
S2,大田B区,2026-08-09 20:00:00,21.4,77.1,70.5,19.6,600.0,6.56
S3,大田C区（低洼易涝）,2026-08-09 08:00:00,21.0,81.9,70.6,19.9,600.0,6.43
S3,大田C区（低洼易涝）,2026-08-09 12:00:00,26.2,94.9,73.6,24.9,17539.0,6.63
S3,大田C区（低洼易涝）,2026-08-09 16:00:00,25.6,92.5,71.4,24.0,18618.0,6.16
S3,大田C区（低洼易涝）,2026-08-09 20:00:00,21.4,80.7,69.5,20.1,600.0,6.21
S4,温室育苗区,2026-08-09 08:00:00,20.9,72.2,61.0,19.0,600.0,6.32
S4,温室育苗区,2026-08-09 12:00:00,27.4,88.3,61.0,25.9,18308.0,6.55
S4,温室育苗区,2026-08-09 16:00:00,25.9,86.2,65.3,24.4,19181.0,6.83
S4,温室育苗区,2026-08-09 20:00:00,20.4,70.6,66.5,18.3,600.0,6.64
S5,山坡试验田,2026-08-09 08:00:00,19.9,81.7,72.3,17.9,600.0,6.46
S5,山坡试验田,2026-08-09 12:00:00,26.0,94.7,70.4,24.8,20526.0,6.46
S5,山坡试验田,2026-08-09 16:00:00,25.6,93.5,69.8,24.3,18421.0,6.71
S5,山坡试验田,2026-08-09 20:00:00,20.3,78.5,67.6,18.8,600.0,6.22
S1,大田A区,2026-08-10 08:00:00,20.0,75.4,68.1,18.5,600.0,6.56
S1,大田A区,2026-08-10 12:00:00,27.4,92.7,69.4,25.8,18865.0,6.3
S1,大田A区,2026-08-10 16:00:00,26.5,90.2,67.0,25.0,20181.0,6.57
S1,大田A区,2026-08-10 20:00:00,20.9,75.8,62.8,19.2,600.0,6.36
S2,大田B区,2026-08-10 08:00:00,21.1,79.2,64.8,19.5,600.0,6.77
S2,大田B区,2026-08-10 12:00:00,25.8,89.7,68.1,24.0,20096.0,6.19
S2,大田B区,2026-08-10 16:00:00,27.3,94.7,71.0,25.2,21191.0,6.22
S2,大田B区,2026-08-10 20:00:00,21.4,79.0,70.0,20.2,600.0,6.52
S3,大田C区（低洼易涝）,2026-08-10 08:00:00,20.1,81.4,74.8,18.5,600.0,6.21
S3,大田C区（低洼易涝）,2026-08-10 12:00:00,25.6,95.4,74.7,24.3,19631.0,6.67
S3,大田C区（低洼易涝）,2026-08-10 16:00:00,26.4,95.9,70.3,24.3,20892.0,6.74
S3,大田C区（低洼易涝）,2026-08-10 20:00:00,20.8,80.6,73.0,19.0,600.0,6.32
S4,温室育苗区,2026-08-10 08:00:00,20.9,74.5,62.1,19.5,600.0,6.4
S4,温室育苗区,2026-08-10 12:00:00,26.1,88.2,64.8,24.1,20486.0,6.36
S4,温室育苗区,2026-08-10 16:00:00,26.8,89.6,65.8,24.8,20226.0,6.73
S4,温室育苗区,2026-08-10 20:00:00,21.0,71.3,62.1,19.0,600.0,6.7
S5,山坡试验田,2026-08-10 08:00:00,21.4,80.5,68.5,20.0,600.0,6.73
S5,山坡试验田,2026-08-10 12:00:00,26.5,93.4,69.4,24.5,19301.0,6.69
S5,山坡试验田,2026-08-10 16:00:00,26.5,90.6,71.5,25.0,19634.0,6.79
S5,山坡试验田,2026-08-10 20:00:00,20.5,79.5,72.9,19.1,600.0,6.41
S1,大田A区,2026-08-11 08:00:00,21.6,61.1,54.5,19.7,4750.0,6.15
S1,大田A区,2026-08-11 12:00:00,28.5,73.3,59.3,27.1,27019.0,6.24
S1,大田A区,2026-08-11 16:00:00,27.6,75.9,59.2,25.7,27170.0,6.43
S1,大田A区,2026-08-11 20:00:00,22.0,62.0,56.5,20.0,7016.0,6.51
S2,大田B区,2026-08-11 08:00:00,22.4,61.9,59.1,21.1,4491.0,6.81
S2,大田B区,2026-08-11 12:00:00,27.6,80.2,60.2,26.3,26927.0,6.57
S2,大田B区,2026-08-11 16:00:00,29.0,75.2,56.5,27.9,28327.0,6.35
S2,大田B区,2026-08-11 20:00:00,21.5,64.5,57.3,20.3,4021.0,6.29
S3,大田C区（低洼易涝）,2026-08-11 08:00:00,21.2,69.7,62.0,19.7,5576.0,6.81
S3,大田C区（低洼易涝）,2026-08-11 12:00:00,27.4,79.6,60.1,25.6,27810.0,6.55
S3,大田C区（低洼易涝）,2026-08-11 16:00:00,28.7,80.4,58.0,27.4,26976.0,6.78
S3,大田C区（低洼易涝）,2026-08-11 20:00:00,22.2,68.0,63.3,20.2,6590.0,6.61
S4,温室育苗区,2026-08-11 08:00:00,22.1,61.8,51.9,20.6,7839.0,6.33
S4,温室育苗区,2026-08-11 12:00:00,28.0,72.8,51.7,26.8,29079.0,6.82
S4,温室育苗区,2026-08-11 16:00:00,28.3,73.3,52.9,26.6,30378.0,6.73
S4,温室育苗区,2026-08-11 20:00:00,22.4,60.6,53.9,21.3,4553.0,6.5
S5,山坡试验田,2026-08-11 08:00:00,21.2,64.1,57.1,19.2,5121.0,6.15
S5,山坡试验田,2026-08-11 12:00:00,27.3,78.9,57.9,25.2,29400.0,6.4
S5,山坡试验田,2026-08-11 16:00:00,27.4,79.9,59.3,25.7,29000.0,6.24
S5,山坡试验田,2026-08-11 20:00:00,21.3,68.1,56.3,19.7,6384.0,6.83
S1,大田A区,2026-08-12 08:00:00,22.9,64.6,59.0,21.0,5595.0,6.83
S1,大田A区,2026-08-12 12:00:00,28.5,74.2,54.7,26.9,27022.0,6.61
S1,大田A区,2026-08-12 16:00:00,28.3,77.1,53.1,27.1,28907.0,6.37
S1,大田A区,2026-08-12 20:00:00,22.0,63.8,56.0,20.8,7879.0,6.35
S2,大田B区,2026-08-12 08:00:00,22.4,60.9,60.4,20.4,5623.0,6.67
S2,大田B区,2026-08-12 12:00:00,27.1,78.5,58.2,25.7,28314.0,6.66
S2,大田B区,2026-08-12 16:00:00,27.4,77.8,54.7,25.4,27713.0,6.16
S2,大田B区,2026-08-12 20:00:00,21.6,63.5,56.5,20.4,7972.0,6.64
S3,大田C区（低洼易涝）,2026-08-12 08:00:00,21.7,68.7,58.4,19.7,7254.0,6.17
S3,大田C区（低洼易涝）,2026-08-12 12:00:00,28.3,83.4,62.2,26.9,27983.0,6.74
S3,大田C区（低洼易涝）,2026-08-12 16:00:00,28.1,81.3,63.4,26.1,30498.0,6.52
S3,大田C区（低洼易涝）,2026-08-12 20:00:00,22.4,64.9,62.1,20.4,6551.0,6.27
S4,温室育苗区,2026-08-12 08:00:00,22.9,59.4,52.8,21.4,6989.0,6.44
S4,温室育苗区,2026-08-12 12:00:00,28.7,73.4,51.6,27.3,27687.0,6.6
S4,温室育苗区,2026-08-12 16:00:00,28.6,76.0,56.2,26.6,28673.0,6.82
S4,温室育苗区,2026-08-12 20:00:00,22.5,59.1,55.7,21.2,5319.0,6.65
S5,山坡试验田,2026-08-12 08:00:00,21.0,62.8,61.6,18.9,5516.0,6.6
S5,山坡试验田,2026-08-12 12:00:00,28.3,79.8,61.3,26.3,30364.0,6.68
S5,山坡试验田,2026-08-12 16:00:00,28.5,77.1,62.5,26.5,26810.0,6.6
S5,山坡试验田,2026-08-12 20:00:00,22.8,64.3,56.9,21.0,5555.0,6.69
S1,大田A区,2026-08-13 08:00:00,22.6,64.3,56.3,20.7,7798.0,6.83
S1,大田A区,2026-08-13 12:00:00,28.4,73.5,55.5,27.1,29084.0,6.7
S1,大田A区,2026-08-13 16:00:00,28.5,72.9,56.1,26.5,26610.0,6.76
S1,大田A区,2026-08-13 20:00:00,21.2,64.8,59.3,20.1,7010.0,6.3
S2,大田B区,2026-08-13 08:00:00,22.4,66.2,60.0,21.1,6468.0,6.63
S2,大田B区,2026-08-13 12:00:00,27.6,76.2,57.7,25.8,29873.0,6.26
S2,大田B区,2026-08-13 16:00:00,28.3,77.5,60.5,26.7,26856.0,6.67
S2,大田B区,2026-08-13 20:00:00,22.8,66.0,61.2,21.6,7603.0,6.51
S3,大田C区（低洼易涝）,2026-08-13 08:00:00,21.5,66.2,59.1,19.9,7646.0,6.46
S3,大田C区（低洼易涝）,2026-08-13 12:00:00,28.7,82.8,60.4,27.1,29116.0,6.53
S3,大田C区（低洼易涝）,2026-08-13 16:00:00,28.3,79.5,59.9,27.2,29525.0,6.57
S3,大田C区（低洼易涝）,2026-08-13 20:00:00,21.2,65.2,60.4,19.4,4190.0,6.84
S4,温室育苗区,2026-08-13 08:00:00,22.1,59.4,56.1,20.8,4810.0,6.5
S4,温室育苗区,2026-08-13 12:00:00,28.9,72.2,53.7,26.9,30488.0,6.81
S4,温室育苗区,2026-08-13 16:00:00,27.6,75.1,57.1,26.1,29579.0,6.78
S4,温室育苗区,2026-08-13 20:00:00,22.9,56.7,50.1,21.0,5956.0,6.79
S5,山坡试验田,2026-08-13 08:00:00,21.1,65.8,56.7,19.0,5152.0,6.76
S5,山坡试验田,2026-08-13 12:00:00,27.3,78.6,62.4,25.3,26790.0,6.37
S5,山坡试验田,2026-08-13 16:00:00,27.6,81.6,60.0,25.6,26630.0,6.64
S5,山坡试验田,2026-08-13 20:00:00,21.1,67.0,59.9,19.5,6972.0,6.77
S1,大田A区,2026-08-14 08:00:00,21.5,59.9,52.9,20.0,6938.0,6.26
S1,大田A区,2026-08-14 12:00:00,27.2,74.8,53.4,25.9,27236.0,6.26
S1,大田A区,2026-08-14 16:00:00,28.6,73.2,55.3,26.8,30321.0,6.75
S1,大田A区,2026-08-14 20:00:00,21.9,60.3,55.6,20.1,5756.0,6.55
S2,大田B区,2026-08-14 08:00:00,21.3,62.4,54.8,19.8,7614.0,6.7
S2,大田B区,2026-08-14 12:00:00,27.8,80.0,61.3,25.8,28431.0,6.59
S2,大田B区,2026-08-14 16:00:00,27.2,76.6,54.6,25.6,28960.0,6.17
S2,大田B区,2026-08-14 20:00:00,22.8,63.1,57.7,21.2,7477.0,6.53
S3,大田C区（低洼易涝）,2026-08-14 08:00:00,22.3,66.6,62.0,20.7,7833.0,6.42
S3,大田C区（低洼易涝）,2026-08-14 12:00:00,27.4,80.0,61.9,25.3,28011.0,6.52
S3,大田C区（低洼易涝）,2026-08-14 16:00:00,27.2,80.4,62.9,25.6,27635.0,6.6
S3,大田C区（低洼易涝）,2026-08-14 20:00:00,22.1,67.8,62.7,20.7,4089.0,6.81
S4,温室育苗区,2026-08-14 08:00:00,21.4,61.0,50.7,20.2,6112.0,6.45
S4,温室育苗区,2026-08-14 12:00:00,28.1,74.5,51.7,26.8,29049.0,6.42
S4,温室育苗区,2026-08-14 16:00:00,28.5,76.2,53.6,26.5,28808.0,6.37
S4,温室育苗区,2026-08-14 20:00:00,22.1,62.3,51.6,20.6,6661.0,6.19
S5,山坡试验田,2026-08-14 08:00:00,22.8,66.9,60.4,21.3,6909.0,6.31
S5,山坡试验田,2026-08-14 12:00:00,27.7,76.5,62.2,26.2,27110.0,6.56
S5,山坡试验田,2026-08-14 16:00:00,28.6,77.5,56.5,26.9,30324.0,6.28
S5,山坡试验田,2026-08-14 20:00:00,21.9,68.5,56.5,20.7,5117.0,6.33
